# DAQ fotoacústico — ventana capturada
# fecha=20260624_200320  Fs_MHz=54.0  Ts_ns=18.519  bits=12  LSB_mV=2.4414  offset_code=2048
muestra,t_ns,t_us,codigo,mV,prom_mV
125,2314.8,2.3148,2031,-41.504,-42.572
126,2333.3,2.3333,2033,-36.621,-43.030
127,2351.9,2.3519,2031,-41.504,-40.283
128,2370.4,2.3704,2029,-46.387,-41.580
129,2388.9,2.3889,2031,-41.504,-41.122
130,2407.4,2.4074,2030,-43.945,-42.114
131,2425.9,2.4259,2030,-43.945,-43.335
132,2444.4,2.4444,2034,-34.180,-42.801
133,2463.0,2.4630,2029,-46.387,-42.267
134,2481.5,2.4815,2031,-41.504,-42.267
135,2500.0,2.5000,2029,-46.387,-43.945
136,2518.5,2.5185,2029,-46.387,-42.648
137,2537.0,2.5370,2031,-41.504,-40.741
138,2555.6,2.5556,2032,-39.062,-42.572
139,2574.1,2.5741,2033,-36.621,-43.182
140,2592.6,2.5926,2033,-36.621,-40.207
141,2611.1,2.6111,2030,-43.945,-41.962
142,2629.6,2.6296,2026,-53.711,-43.182
143,2648.1,2.6481,2031,-41.504,-42.953
144,2666.7,2.6667,2030,-43.945,-42.419
145,2685.2,2.6852,2028,-48.828,-42.725
146,2703.7,2.7037,2035,-31.738,-42.038
147,2722.2,2.7222,2035,-31.738,-42.801
148,2740.7,2.7407,2028,-48.828,-40.283
149,2759.3,2.7593,2031,-41.504,-41.351
150,2777.8,2.7778,2036,-29.297,-44.022
151,2796.3,2.7963,2028,-48.828,-42.419
152,2814.8,2.8148,2033,-36.621,-41.351
153,2833.3,2.8333,2034,-34.180,-43.411
154,2851.9,2.8519,2029,-46.387,-40.588
155,2870.4,2.8704,2026,-53.711,-41.580
156,2888.9,2.8889,2034,-34.180,-44.403
157,2907.4,2.9074,2030,-43.945,-41.199
158,2925.9,2.9259,2032,-39.062,-42.572
159,2944.4,2.9444,2035,-31.738,-41.504
160,2963.0,2.9630,2029,-46.387,-43.106
161,2981.5,2.9815,2030,-43.945,-43.106
162,3000.0,3.0000,2030,-43.945,-40.665
163,3018.5,3.0185,2030,-43.945,-42.496
164,3037.0,3.0370,2032,-39.062,-42.343
